Model,Train RMSE,Test RMSE
Linear,233374.1313927382,238855.72009451487
Polynomial Ridge,213157.73632390916,206224.6268309495
Random Forest,60512.660042173724,154262.08000988382
Gradient Boost,156744.92693569427,165779.4108001506
